accuracy,recall,precision,f1_score,model,classifier,pooling,penalty,kernel,regularization,max_iter,solver,embedding_dim,train_time
0.6241152679474217,0.6241058960618457,0.623546210379327,0.6229589987373467,SWEM,lr,aver,l2,,0.00379269019073225,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,2.385483741760254
0.6262639029322548,0.626254946400004,0.6256826192345256,0.6251732508580378,SWEM,lr,aver,l2,,0.005455594781168515,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF43C750>>,2.386526107788086
0.6274014155712841,0.6273928424150824,0.6267202531867307,0.6263898423147384,SWEM,lr,aver,l2,,0.007847599703514606,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,2.292090892791748
0.625,0.6249917941343083,0.624326575327683,0.624057695538717,SWEM,lr,aver,l2,,0.011288378916846883,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,2.2856624126434326
0.6239888776541962,0.6239808314810839,0.6232794606774211,0.6230848674618893,SWEM,lr,aver,l2,,0.01623776739188721,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,2.320293426513672
0.6243680485338726,0.6243600023728728,0.6236939103425693,0.6234618053035115,SWEM,lr,aver,l2,,0.023357214690901212,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,2.326172351837158
0.6260111223458038,0.6260032359621718,0.625424668885142,0.6250990787766236,SWEM,lr,aver,l2,,0.03359818286283781,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,2.3407771587371826
0.6268958543983822,0.6268880319329646,0.6262901870666585,0.6260104346539225,SWEM,lr,aver,l2,,0.04832930238571752,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,2.356656789779663
0.6270222446916077,0.6270143423677877,0.6264218294532006,0.6261142869067117,SWEM,lr,aver,l2,,0.06951927961775606,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,2.320499897003174
0.6267694641051568,0.6267613860758942,0.6261397422018876,0.6258321668152915,SWEM,lr,aver,l2,,0.1,300,saga,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,2.2984402179718018
0.5214863498483316,0.5214986972679091,0.5365369765483406,0.5194247407593823,SWEM,lr,max,l2,,0.0001,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,0.3838226795196533
0.5337462082912032,0.5337536844935924,0.5440261935368197,0.5332127162506476,SWEM,lr,max,l2,,0.0001438449888287663,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,0.3357675075531006
0.5477755308392316,0.5477786470005728,0.5545869257606095,0.5479436621472212,SWEM,lr,max,l2,,0.00020691380811147902,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,0.4693410396575928
0.5558645096056622,0.5558648627849879,0.5591331272650097,0.5560744346627937,SWEM,lr,max,l2,,0.00029763514416313193,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF5F6550>>,0.4831202030181885
0.5633215369059656,0.5633197659826066,0.5648216707440065,0.5634700192016032,SWEM,lr,max,l2,,0.00042813323987193956,300,lbfgs,<bound method EmbeddingLoader.vector_size of <src.trainers.utils.EmbeddingLoader object at 0x0000026FDF69E7D0>>,0.6146695613861084
