accuracy,recall,precision,f1_score,model,pooling,optim,lr,patience,min_delta,hidden_layers,output_size,dropout,epochs,batch_size,embedding_dim,train_time,name
0.6480475167445975,0.6480646759260457,0.6567758488943843,0.6437212035894304,MLP SWEM,aver,adam,0.03162277660168381,15,0.0001,"[128, 64]",3,0.2,44/200,64,100,50.13327670097351,model_21
0.4821180336155693,0.48213474026674125,0.43832556521619753,0.4073928596179755,MLP SWEM,max,adam,0.03162277660168381,15,0.0001,"[128, 64]",3,0.2,28/200,64,100,31.833681344985962,model_22
0.8291419183621888,0.8291445803096216,0.8301097407218693,0.8290627538403385,MLP SWEM,aver,sgd,0.03162277660168381,15,0.0001,"[128, 64]",3,0.2,177/200,64,100,177.0296938419342,model_23
0.7315809427524327,0.7315797841586589,0.7407758040045674,0.7310340759117645,MLP SWEM,max,sgd,0.03162277660168381,15,0.0001,"[128, 64]",3,0.2,103/200,64,100,102.25263905525208,model_24
0.6065967395425249,0.6066156384010172,0.6228461260079675,0.596958311306727,MLP SWEM,aver,adam,0.06309573444801936,15,0.0001,"[128, 64]",3,0.2,16/200,64,100,20.646170377731323,model_25
0.3332490837861746,0.3333333333333333,0.11108302792872488,0.1666350710900474,MLP SWEM,max,adam,0.06309573444801936,15,0.0001,"[128, 64]",3,0.2,24/200,64,100,27.982274532318115,model_26
0.8415266017945153,0.8415276029988282,0.8420111330666914,0.8415986039606819,MLP SWEM,aver,sgd,0.06309573444801936,15,0.0001,"[128, 64]",3,0.2,126/200,64,100,125.73533177375793,model_27
0.752685454315683,0.7526852707178583,0.752874048671714,0.7526109068090522,MLP SWEM,max,sgd,0.06309573444801936,15,0.0001,"[128, 64]",3,0.2,95/200,64,100,98.10665607452393,model_28
0.3332490837861746,0.33333328541586943,0.27773564235452747,0.16685598878431643,MLP SWEM,aver,adam,0.12589254117941687,15,0.0001,"[128, 64]",3,0.2,25/200,64,100,27.94480872154236,model_29
0.33337545810691266,0.3333333333333333,0.11112515270230422,0.16668246295769754,MLP SWEM,max,adam,0.12589254117941687,15,0.0001,"[128, 64]",3,0.2,16/200,64,100,19.0678551197052,model_30
0.8429167193226337,0.8429147177436165,0.843424440680118,0.8429434424412044,MLP SWEM,aver,sgd,0.12589254117941687,15,0.0001,"[128, 64]",3,0.2,145/200,64,100,145.76816511154175,model_31
0.7485151017313282,0.748518320140218,0.749615192835094,0.7485541594602311,MLP SWEM,max,sgd,0.12589254117941687,15,0.0001,"[128, 64]",3,0.2,94/200,64,100,92.98829555511475,model_32
0.33337545810691266,0.3333333333333333,0.111139197842939,0.16669826224328596,MLP SWEM,aver,adam,0.25118864315095824,15,0.0001,"[128, 64]",3,0.2,51/200,64,100,59.269198179244995,model_33
0.33337545810691266,0.3333333333333333,0.11112515270230422,0.16668246295769754,MLP SWEM,max,adam,0.25118864315095824,15,0.0001,"[128, 64]",3,0.2,51/200,64,100,57.72802519798279,model_34
0.8336913939087578,0.8336868204644755,0.8365462819093454,0.833860109930408,MLP SWEM,aver,sgd,0.25118864315095824,15,0.0001,"[128, 64]",3,0.2,94/200,64,100,94.52979946136475,model_35
0.7336029318842411,0.7336076512306308,0.7351850716982428,0.7333016565780279,MLP SWEM,max,sgd,0.25118864315095824,15,0.0001,"[128, 64]",3,0.2,72/200,64,100,70.59832549095154,model_36
0.3335018324276507,0.33345969168562045,0.44447253117627233,0.16695088318556206,MLP SWEM,aver,adam,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,53/200,64,100,61.90834903717041,model_37
0.33337545810691266,0.3333333333333333,0.11112515270230422,0.16668246295769754,MLP SWEM,max,adam,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,53/200,64,100,60.198657751083374,model_38
0.8278781751548085,0.8278786967484838,0.8282911601637523,0.8279565928379763,MLP SWEM,aver,sgd,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,58/200,64,100,63.66208267211914,model_39
0.73815240743081,0.7381561206557907,0.7388330899119687,0.738068724287797,MLP SWEM,max,sgd,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,87/200,64,100,92.95469093322754,model_40
