accuracy,recall,precision,f1_score,model,pooling,optim,lr,patience,min_delta,hidden_layers,output_size,dropout,epochs,batch_size,embedding_dim,train_time,name
0.33344663494221616,0.3333333333333333,0.11114887831407205,0.16670915115982665,MLP SWEM,max,adam,0.12589254117941687,15,0.0001,"[128, 64]",3,0.2,16/200,64,100,7.027406454086304,model_30
0.6366417403127125,0.6365856026406486,0.6358698191962849,0.6287814797965932,MLP SWEM,aver,sgd,0.12589254117941687,15,0.0001,"[128, 64]",3,0.2,37/200,64,100,14.537757873535156,model_31
0.600951733514616,0.6008935072499949,0.6039586267319188,0.5921972068674609,MLP SWEM,max,sgd,0.12589254117941687,15,0.0001,"[128, 64]",3,0.2,32/200,64,100,12.650893449783325,model_32
0.33310673011556763,0.3333333333333333,0.11103557670518921,0.16658167601563828,MLP SWEM,aver,adam,0.25118864315095824,15,0.0001,"[128, 64]",3,0.2,33/200,64,100,14.775047302246094,model_33
0.33310673011556763,0.3333333333333333,0.11103557670518921,0.16658167601563828,MLP SWEM,max,adam,0.25118864315095824,15,0.0001,"[128, 64]",3,0.2,17/200,64,100,7.666081428527832,model_34
0.628144119646499,0.6281536263842947,0.6442747453398834,0.6280310843026843,MLP SWEM,aver,sgd,0.25118864315095824,15,0.0001,"[128, 64]",3,0.2,23/200,64,100,9.320180892944336,model_35
0.5910944935418083,0.5910618069857912,0.5901173451199002,0.5876653628371492,MLP SWEM,max,sgd,0.25118864315095824,15,0.0001,"[128, 64]",3,0.2,32/200,64,100,12.633789539337158,model_36
0.3344663494221618,0.33435374149659863,0.3613002042205582,0.1689118262705975,MLP SWEM,aver,adam,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,16/200,64,100,7.153912305831909,model_37
0.33310673011556763,0.3333333333333333,0.11103557670518921,0.16658167601563828,MLP SWEM,max,adam,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,25/200,64,100,10.857890605926514,model_38
0.6342624065261727,0.6342653269258774,0.6471139918048557,0.6374357382939844,MLP SWEM,aver,sgd,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,25/200,64,100,9.577133178710938,model_39
0.5360299116247451,0.5359230134459492,0.5901898104549339,0.5004199104072987,MLP SWEM,max,sgd,0.5011872336272722,15,0.0001,"[128, 64]",3,0.2,26/200,64,100,10.239546298980713,model_40
